,geoid,name,median_age,white_pct,total_pop,median_income,college_degree_pct,unemploy_pct
0,1500000US510010901011,"Block Group 1, Census Tract 901.01, Accomack County, Virginia",62.8,99.10614525139665,895,60026.0,24.751861042183624,0.0
1,1500000US510010901012,"Block Group 2, Census Tract 901.01, Accomack County, Virginia",50.3,94.311377245509,1002,67121.0,23.39667458432304,14.91395793499044
2,1500000US510010901021,"Block Group 1, Census Tract 901.02, Accomack County, Virginia",67.0,98.61460957178842,794,43929.0,24.516574585635357,12.97071129707113
3,1500000US510010901022,"Block Group 2, Census Tract 901.02, Accomack County, Virginia",30.3,86.36363636363636,594,23990.0,24.92063492063492,0.0
4,1500000US510010902011,"Block Group 1, Census Tract 902.01, Accomack County, Virginia",53.3,77.89203084832906,1167,31606.0,10.18808777429467,6.435643564356436
5,1500000US510010902012,"Block Group 2, Census Tract 902.01, Accomack County, Virginia",61.2,100.0,1833,75568.0,17.716827279466273,7.2727272727272725
6,1500000US510010902021,"Block Group 1, Census Tract 902.02, Accomack County, Virginia",40.7,25.894378194207835,1174,51019.0,3.9719626168224296,0.0
7,1500000US510010902022,"Block Group 2, Census Tract 902.02, Accomack County, Virginia",47.5,61.5009746588694,1026,49066.0,13.724304715840388,13.684210526315791
8,1500000US510010902023,"Block Group 3, Census Tract 902.02, Accomack County, Virginia",54.9,79.33673469387756,784,65109.0,13.245033112582782,0.0
9,1500000US510010903001,"Block Group 1, Census Tract 903, Accomack County, Virginia",61.2,78.15126050420169,476,60417.0,7.08955223880597,0.0
10,1500000US510010903002,"Block Group 2, Census Tract 903, Accomack County, Virginia",35.3,68.72037914691943,844,33111.0,8.660130718954248,10.071942446043165
11,1500000US510010903003,"Block Group 3, Census Tract 903, Accomack County, Virginia",43.3,77.55359394703657,793,60536.0,10.821484992101107,2.5380710659898478
12,1500000US510010904011,"Block Group 1, Census Tract 904.01, Accomack County, Virginia",41.0,53.31246739697444,1917,82556.0,7.756024096385543,0.9777777777777777
13,1500000US510010904012,"Block Group 2, Census Tract 904.01, Accomack County, Virginia",48.4,71.43803843605036,1509,83333.0,18.064228367528994,1.4833127317676145
14,1500000US510010904021,"Block Group 1, Census Tract 904.02, Accomack County, Virginia",45.2,25.33665835411471,2005,46618.0,8.078101071975498,3.5175879396984926
15,1500000US510010904022,"Block Group 2, Census Tract 904.02, Accomack County, Virginia",31.8,51.998119417019275,2127,47321.0,12.004662004662006,6.310013717421124
16,1500000US510010905001,"Block Group 1, Census Tract 905, Accomack County, Virginia",44.6,90.98901098901099,455,48000.0,13.636363636363635,0.0
17,1500000US510010905002,"Block Group 2, Census Tract 905, Accomack County, Virginia",38.9,55.26315789473685,1292,60000.0,9.397590361445783,3.6090225563909777
18,1500000US510010905003,"Block Group 3, Census Tract 905, Accomack County, Virginia",35.1,84.84848484848484,594,34107.0,5.297157622739018,16.72473867595819
19,1500000US510010906001,"Block Group 1, Census Tract 906, Accomack County, Virginia",57.6,100.0,411,31875.0,2.083333333333333,4.504504504504505
20,1500000US510010906002,"Block Group 2, Census Tract 906, Accomack County, Virginia",65.1,61.771844660194176,824,46058.0,16.666666666666664,0.0
21,1500000US510010906003,"Block Group 3, Census Tract 906, Accomack County, Virginia",54.9,51.15321252059309,1214,48274.0,21.910112359550563,9.734513274336283
22,1500000US510010906004,"Block Group 4, Census Tract 906, Accomack County, Virginia",59.0,81.21597096188748,1102,77344.0,25.60083594566353,0.0
23,1500000US510010907001,"Block Group 1, Census Tract 907, Accomack County, Virginia",37.1,82.17054263565892,1419,62574.0,17.15456674473068,0.0
24,1500000US510010907002,"Block Group 2, Census Tract 907, Accomack County, Virginia",48.2,72.5338491295938,517,26484.0,12.5,3.004291845493562
25,1500000US510010907003,"Block Group 3, Census Tract 907, Accomack County, Virginia",48.7,41.040462427745666,519,74063.0,11.246612466124661,6.896551724137931
26,1500000US510010907004,"Block Group 4, Census Tract 907, Accomack County, Virginia",40.6,50.87548638132296,1028,92966.0,19.93288590604027,0.0
27,1500000US510010907005,"Block Group 5, Census Tract 907, Accomack County, Virginia",48.3,57.510999371464486,1591,51052.0,14.746019711902958,5.834305717619603
28,1500000US510010908001,"Block Group 1, Census Tract 908, Accomack County, Virginia",61.5,71.44948755490483,683,42429.0,16.3312693498452,0.7604562737642585
29,1500000US510010908002,"Block Group 2, Census Tract 908, Accomack County, Virginia",27.6,43.95109395109395,1554,40750.0,14.819277108433734,3.0927835051546393
30,1500000US510010908003,"Block Group 3, Census Tract 908, Accomack County, Virginia",35.7,30.630630630630627,1221,58690.0,7.608695652173914,0.0
