"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US510010904022","Block Group 2, Census Tract 904.02, Accomack County, Virginia","2127","null","589","null","1106","null","443","null","471","248","null","null","0","13","null","null","7","null","13","null","0","null","13","null","18","null","28","null","525","320","null","null","511","null","318","null","14","null","26","null",
"1500000US510010905001","Block Group 1, Census Tract 905, Accomack County, Virginia","455","null","167","null","414","null","153","null","7","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","34","34","null","null","0","null","13","null","34","null","34","null",
"1500000US510010905002","Block Group 2, Census Tract 905, Accomack County, Virginia","1292","null","455","null","714","null","230","null","491","337","null","null","0","13","null","null","3","null","5","null","0","null","13","null","0","null","13","null","84","63","null","null","35","null","44","null","49","null","55","null",
"1500000US510010905003","Block Group 3, Census Tract 905, Accomack County, Virginia","594","null","267","null","504","null","259","null","80","77","null","null","0","13","null","null","8","null","12","null","0","null","13","null","2","null","4","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010906001","Block Group 1, Census Tract 906, Accomack County, Virginia","411","null","147","null","411","null","147","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010906002","Block Group 2, Census Tract 906, Accomack County, Virginia","824","null","247","null","509","null","146","null","315","215","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010906003","Block Group 3, Census Tract 906, Accomack County, Virginia","1214","null","310","null","621","null","135","null","493","253","null","null","1","4","null","null","1","null","2","null","0","null","13","null","2","null","4","null","96","95","null","null","25","null","53","null","71","null","75","null",
"1500000US510010906004","Block Group 4, Census Tract 906, Accomack County, Virginia","1102","null","257","null","895","null","213","null","118","92","null","null","32","50","null","null","0","null","13","null","0","null","13","null","2","null","4","null","55","82","null","null","55","null","82","null","0","null","13","null",
"1500000US510010907001","Block Group 1, Census Tract 907, Accomack County, Virginia","1419","null","385","null","1166","null","347","null","101","83","null","null","33","42","null","null","6","null","9","null","0","null","13","null","0","null","13","null","113","140","null","null","110","null","139","null","3","null","8","null",
"1500000US510010907002","Block Group 2, Census Tract 907, Accomack County, Virginia","517","null","209","null","375","null","162","null","115","77","null","null","0","13","null","null","0","null","13","null","0","null","13","null","26","null","53","null","1","2","null","null","0","null","13","null","1","null","2","null",
"1500000US510010907003","Block Group 3, Census Tract 907, Accomack County, Virginia","519","null","261","null","213","null","126","null","295","237","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","11","18","null","null","0","null","13","null","11","null","18","null",
"1500000US510010907004","Block Group 4, Census Tract 907, Accomack County, Virginia","1028","null","439","null","523","null","313","null","456","383","null","null","0","13","null","null","39","null","47","null","0","null","13","null","10","null","16","null","0","13","null","null","0","null","13","null","0","null","13","null",
