"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_001MA","B01002_001EA","B01002_002E","B01002_002EA","B01002_002M","B01002_002MA","B01002_003E","B01002_003M","B01002_003MA","B01002_003EA",
"Geography","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Annotation of Margin of Error!!Median age --!!Total:","Annotation of Estimate!!Median age --!!Total:","Estimate!!Median age --!!Male","Annotation of Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Annotation of Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female","Annotation of Margin of Error!!Median age --!!Female","Annotation of Estimate!!Median age --!!Female",
"1500000US510411008163","Block Group 3, Census Tract 1008.16, Chesterfield County, Virginia","43.1","11.6","null","null","42.5","null","8.5","null","44.8","16.6","null","null",
"1500000US510411008171","Block Group 1, Census Tract 1008.17, Chesterfield County, Virginia","38.9","2.9","null","null","36.6","null","7.4","null","40.2","3.7","null","null",
"1500000US510411008172","Block Group 2, Census Tract 1008.17, Chesterfield County, Virginia","40.5","5.3","null","null","37.4","null","3.3","null","62.5","16.3","null","null",
"1500000US510411008181","Block Group 1, Census Tract 1008.18, Chesterfield County, Virginia","43.9","5.5","null","null","41.4","null","10.6","null","48.9","3.9","null","null",
"1500000US510411008182","Block Group 2, Census Tract 1008.18, Chesterfield County, Virginia","35.1","10.6","null","null","35.8","null","13.1","null","34.3","9.0","null","null",
"1500000US510411008191","Block Group 1, Census Tract 1008.19, Chesterfield County, Virginia","36.6","12.3","null","null","36.6","null","8.2","null","36.4","16.3","null","null",
"1500000US510411008192","Block Group 2, Census Tract 1008.19, Chesterfield County, Virginia","33.5","9.0","null","null","31.9","null","8.2","null","38.0","14.0","null","null",
"1500000US510411008193","Block Group 3, Census Tract 1008.19, Chesterfield County, Virginia","44.0","11.1","null","null","49.2","null","10.6","null","35.8","7.3","null","null",
"1500000US510411008201","Block Group 1, Census Tract 1008.20, Chesterfield County, Virginia","41.8","8.6","null","null","31.8","null","15.8","null","47.5","5.8","null","null",
"1500000US510411008202","Block Group 2, Census Tract 1008.20, Chesterfield County, Virginia","29.9","8.5","null","null","32.1","null","5.5","null","28.5","8.8","null","null",
"1500000US510411008211","Block Group 1, Census Tract 1008.21, Chesterfield County, Virginia","42.7","9.1","null","null","49.3","null","16.6","null","39.8","6.3","null","null",
"1500000US510411008212","Block Group 2, Census Tract 1008.21, Chesterfield County, Virginia","56.3","3.4","null","null","56.6","null","3.0","null","55.9","5.8","null","null",
"1500000US510411008213","Block Group 3, Census Tract 1008.21, Chesterfield County, Virginia","56.0","4.2","null","null","56.4","null","3.2","null","54.7","5.8","null","null",
"1500000US510411008221","Block Group 1, Census Tract 1008.22, Chesterfield County, Virginia","52.1","21.9","null","null","60.5","null","27.5","null","50.3","19.6","null","null",
"1500000US510411008222","Block Group 2, Census Tract 1008.22, Chesterfield County, Virginia","46.9","7.2","null","null","50.8","null","9.0","null","45.7","9.1","null","null",
"1500000US510411008223","Block Group 3, Census Tract 1008.22, Chesterfield County, Virginia","35.1","9.2","null","null","33.0","null","11.5","null","38.1","13.2","null","null",
"1500000US510411008231","Block Group 1, Census Tract 1008.23, Chesterfield County, Virginia","54.6","4.2","null","null","53.8","null","3.8","null","58.5","10.2","null","null",
"1500000US510411008232","Block Group 2, Census Tract 1008.23, Chesterfield County, Virginia","42.1","20.9","null","null","42.7","null","23.0","null","35.9","27.2","null","null",
"1500000US510411008233","Block Group 3, Census Tract 1008.23, Chesterfield County, Virginia","42.3","8.4","null","null","39.8","null","5.8","null","47.2","7.9","null","null",
"1500000US510411009021","Block Group 1, Census Tract 1009.02, Chesterfield County, Virginia","43.9","5.7","null","null","43.2","null","2.7","null","47.7","8.6","null","null",
"1500000US510411009022","Block Group 2, Census Tract 1009.02, Chesterfield County, Virginia","43.5","2.3","null","null","44.6","null","4.4","null","43.1","2.4","null","null",
"1500000US510411009023","Block Group 3, Census Tract 1009.02, Chesterfield County, Virginia","49.4","3.6","null","null","50.7","null","13.8","null","49.3","3.5","null","null",
"1500000US510411009071","Block Group 1, Census Tract 1009.07, Chesterfield County, Virginia","35.6","6.6","null","null","32.9","null","10.1","null","37.1","7.2","null","null",
"1500000US510411009072","Block Group 2, Census Tract 1009.07, Chesterfield County, Virginia","50.6","11.1","null","null","50.9","null","17.7","null","49.0","14.8","null","null",
"1500000US510411009101","Block Group 1, Census Tract 1009.10, Chesterfield County, Virginia","39.8","10.3","null","null","44.8","null","4.5","null","29.1","15.4","null","null",
"1500000US510411009102","Block Group 2, Census Tract 1009.10, Chesterfield County, Virginia","38.1","3.7","null","null","38.2","null","3.6","null","38.0","17.4","null","null",
"1500000US510411009103","Block Group 3, Census Tract 1009.10, Chesterfield County, Virginia","39.5","5.0","null","null","40.9","null","10.4","null","38.3","6.1","null","null",
"1500000US510411009104","Block Group 4, Census Tract 1009.10, Chesterfield County, Virginia","33.9","14.6","null","null","33.3","null","16.6","null","38.1","15.8","null","null",
"1500000US510411009121","Block Group 1, Census Tract 1009.12, Chesterfield County, Virginia","40.8","12.4","null","null","45.2","null","13.7","null","40.5","14.7","null","null",
"1500000US510411009122","Block Group 2, Census Tract 1009.12, Chesterfield County, Virginia","44.1","11.3","null","null","45.0","null","10.9","null","41.0","13.4","null","null",
"1500000US510411009123","Block Group 3, Census Tract 1009.12, Chesterfield County, Virginia","34.0","8.2","null","null","30.7","null","13.6","null","35.4","9.9","null","null",
"1500000US510411009124","Block Group 4, Census Tract 1009.12, Chesterfield County, Virginia","46.8","10.1","null","null","45.6","null","9.7","null","49.0","14.8","null","null",
"1500000US510411009151","Block Group 1, Census Tract 1009.15, Chesterfield County, Virginia","37.5","2.4","null","null","34.3","null","7.3","null","39.9","5.1","null","null",
"1500000US510411009152","Block Group 2, Census Tract 1009.15, Chesterfield County, Virginia","45.6","7.9","null","null","48.0","null","8.0","null","41.6","10.5","null","null",
"1500000US510411009191","Block Group 1, Census Tract 1009.19, Chesterfield County, Virginia","39.8","11.5","null","null","32.9","null","7.9","null","44.7","8.2","null","null",
"1500000US510411009192","Block Group 2, Census Tract 1009.19, Chesterfield County, Virginia","41.8","16.0","null","null","41.5","null","25.3","null","48.1","18.5","null","null",
